ICR_lower_edge,ICR_greater_edge,Rating is,Spread is,,,,
-100000,0.499999,D2/D,12.00%,,,,
0.5,0.799999,Caa/CCC,10.00%,,,,
0.8,1.249999,Ca2/CC,8.00%,,,,
1.25,1.499999,C2/C,7.00%,,,,
1.5,1.999999,B3/B-,6.00%,,,,
2,2.499999,B2/B,5.00%,,,,
2.5,2.999999,B1/B+,4.00%,,,,
3,3.499999,Ba2/BB,3.25%,,,,
3.5,3.9999999,Ba1/BB+,2.75%,,,,
4,4.499999,Baa2/BBB,1.75%,,,,
4.5,5.999999,A3/A-,1.20%,,,,
6,7.499999,A2/A,1.00%,,,,
7.5,9.499999,A1/A+,0.90%,,,,
9.5,12.499999,Aa2/AA,0.70%,,,,
12.5,100000,Aaa/AAA,0.40%,,,,
,,,,,,,
